date/time,kwh,,
 01/01  01:00:00,103.9091469,,
 01/01  02:00:00,102.2203769,,
 01/01  03:00:00,100.249745,,
 01/01  04:00:00,98.19852675,,
 01/01  05:00:00,103.5621449,,
 01/01  06:00:00,101.7630282,,
 01/01  07:00:00,132.9045074,,
 01/01  08:00:00,133.8157578,,
 01/01  09:00:00,170.1801606,,
 01/01  10:00:00,149.0476357,,
 01/01  11:00:00,183.264848,,
 01/01  12:00:00,212.4820558,,
 01/01  13:00:00,225.8367864,,
 01/01  14:00:00,225.8021614,,
 01/01  15:00:00,223.8204616,,
 01/01  16:00:00,221.9916231,,
 01/01  17:00:00,224.0431958,,
 01/01  18:00:00,203.8373744,,
 01/01  19:00:00,206.5392663,,
 01/01  20:00:00,191.1952875,,
 01/01  21:00:00,179.7388739,,
 01/01  22:00:00,159.0077734,,
 01/01  23:00:00,107.4384832,,
 01/01  24:00:00,139.1031311,,
 01/02  01:00:00,113.3632607,,
 01/02  02:00:00,104.1108931,,
 01/02  03:00:00,102.2148896,,
 01/02  04:00:00,101.2378474,,
 01/02  05:00:00,107.7754393,,
 01/02  06:00:00,106.8575472,,
 01/02  07:00:00,150.3944141,,
 01/02  08:00:00,152.0318575,,
 01/02  09:00:00,226.8344866,,
 01/02  10:00:00,255.1548237,,
 01/02  11:00:00,248.8382141,,
 01/02  12:00:00,276.3269352,,
 01/02  13:00:00,262.0885916,,
 01/02  14:00:00,261.1644919,,
 01/02  15:00:00,256.2658571,,
 01/02  16:00:00,252.7366311,,
 01/02  17:00:00,256.1673722,,
 01/02  18:00:00,266.0966519,,
 01/02  19:00:00,262.5109102,,
 01/02  20:00:00,250.0029074,,
 01/02  21:00:00,224.8752963,,
 01/02  22:00:00,162.394857,,
 01/02  23:00:00,113.8554421,,
 01/02  24:00:00,145.3643938,,
 01/03  01:00:00,119.9352606,,
 01/03  02:00:00,111.7287478,,
 01/03  03:00:00,109.9743578,,
 01/03  04:00:00,107.4068521,,
 01/03  05:00:00,126.6751034,,
 01/03  06:00:00,122.3647424,,
 01/03  07:00:00,161.6281835,,
 01/03  08:00:00,148.0972218,,
 01/03  09:00:00,214.0566251,,
 01/03  10:00:00,241.8680846,,
 01/03  11:00:00,232.8067671,,
 01/03  12:00:00,264.0121903,,
 01/03  13:00:00,247.4768484,,
